Game_Date,Game_Time,Length,Home_Runs,Wins,Replay_Reviews,Strikeout_Side,Four_Pitch_Walk,Triples,Seven_Or_More_Runs,Five_Or_More_Runs,Three_Or_More_Runs,Bunts,Stolen_Bases,Doubles,Double_Plays,Save,Caught_Stealing,Pitcher_Pickoff,Hits,Runs,Walks,Strikeouts,Runs_Batted_In,Assists
2024-08-24,13:10:00,3.07,0,0,1,0,1,0,0,0,1,0,2,2,0,0,0,0,4,3,9,5,3,4
2024-08-25,13:10:00,2.65,0,1,0,0,0,0,0,0,1,1,5,0,1,1,0,0,7,4,4,11,3,6
2024-08-26,18:40:00,2.17,2,1,0,1,0,0,0,1,1,0,1,2,0,0,0,0,7,5,1,13,5,6
2024-08-27,18:40:00,2.6,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,2,4,14,1,3
2024-08-28,13:10:00,2.29,3,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,9,6,1,10,6,8
2024-08-30,18:38:00,2.92,1,1,0,0,2,0,1,1,1,0,1,2,0,0,0,0,9,9,7,4,7,7
2024-08-31,18:38:00,2.61,2,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,8,4,6,4,4,8
2024-09-01,13:07:00,2.6,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,5,2,5,9,2,4
2024-09-02,16:07:00,2.65,1,0,1,0,2,0,0,0,1,0,3,1,0,0,0,0,6,4,5,12,4,5
2024-09-03,18:40:00,2.24,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,2,3,8,2,4
2024-09-04,18:40:00,2.78,1,1,0,0,0,0,1,1,1,0,1,7,0,0,1,0,16,16,4,14,16,7
2024-09-05,12:37:00,2.85,3,1,0,0,1,0,0,1,1,0,2,3,0,0,0,0,11,6,3,11,6,5
2024-09-06,17:15:00,2.86,1,1,0,0,1,0,0,1,1,0,2,2,0,0,1,0,11,6,4,6,6,9
2024-09-07,16:15:00,2.42,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,5,10,0,11
2024-09-08,11:15:00,2.84,2,1,0,0,1,0,1,1,1,0,0,5,1,0,0,0,14,10,4,10,10,7
2024-09-10,18:40:00,2.94,2,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,10,3,4,9,3,8
2024-09-11,18:40:00,2.53,0,1,1,0,1,0,0,1,1,0,0,3,0,1,0,0,5,5,4,9,5,6
2024-09-12,18:40:00,2.82,1,0,0,0,1,0,0,0,1,1,4,0,0,0,2,0,6,4,5,7,3,9
2024-09-13,19:10:00,2.69,1,1,0,1,0,0,0,1,1,0,2,2,0,1,0,0,10,5,2,10,5,3
2024-09-14,18:40:00,2.69,2,1,0,0,1,0,0,1,1,0,2,3,0,0,0,0,10,5,6,9,5,9
2024-09-15,13:10:00,2.28,2,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,14,7,1,6,7,13
